Year,Team,Revenue,Expense,Payroll,Operating Income,NHL_Points,NHL Win Per,Population,Adjusted_Rev,Adjusted_Exp,Adjusted_Payroll,Adjusted_Payroll_million,Adjusted_Income
2015,Nashville Predators,110.00,108.00,59821039.00,2.00,104.00,0.57,1804671.00,109.87,107.87,59749851.96,59.75,2.00
2015,New Jersey Devils,125.00,120.50,61846503.00,4.50,78.00,0.39,19320968.00,124.85,120.36,61772905.66,61.77,4.49
2015,New York Islanders,93.00,107.00,64519319.00,-14.00,101.00,0.57,19320968.00,92.89,106.87,64442541.01,64.44,-13.98
2015,New York Rangers,229.00,145.90,68809019.00,83.10,113.00,0.65,19320968.00,228.73,145.73,68727136.27,68.73,83.00
2015,Ottawa Senators,119.00,100.50,56749896.00,18.50,99.00,0.52,1337305.00,118.86,100.38,56682363.62,56.68,18.48
2015,Philadelphia Flyers,146.00,132.40,73580710.00,13.60,84.00,0.40,6056816.00,145.83,132.24,73493148.96,73.49,13.58
2015,Pittsburgh Penguins,151.00,130.80,71278364.00,20.20,98.00,0.52,2347757.00,150.82,130.64,71193542.75,71.19,20.18
2015,San Jose Sharks,126.00,117.80,60666109.00,8.20,89.00,0.49,1974501.00,125.85,117.66,60593916.33,60.59,8.19
2015,St. Louis Blues,111.00,118.10,68207908.00,-7.10,109.00,0.62,2807503.00,110.87,117.96,68126740.59,68.13,-7.09
2015,Tampa Bay Lightning,121.00,122.40,69836530.00,-1.40,108.00,0.61,2983928.00,120.86,122.25,69753424.53,69.75,-1.40
2015,Toronto Maple Leafs,192.00,122.00,66420970.00,70.00,68.00,0.37,6045240.00,191.77,121.85,66341929.05,66.34,69.92
2015,Vancouver Canucks,152.00,116.50,66238057.00,35.50,101.00,0.59,2544484.00,151.82,116.36,66159233.71,66.16,35.46
2015,Washington Capitals,132.00,126.20,68577042.00,5.80,101.00,0.55,6093950.00,131.84,126.05,68495435.32,68.50,5.79
2015,Winnipeg Jets,116.00,105.10,63322574.00,10.90,99.00,0.52,,115.86,104.97,63247220.14,63.25,10.89
2016,Anaheim Ducks,121.00,122.20,63192523.00,-1.20,103.00,0.56,13270694.00,119.35,120.53,62331208.91,62.33,-1.18
2016,Arizona Coyotes,101.00,109.00,65050932.00,-8.00,,,4673336.00,99.62,107.51,64164287.80,64.16,-7.89
2016,Boston Bruins,169.00,135.50,69478695.00,33.50,93.00,0.51,4809061.00,166.70,133.65,68531700.39,68.53,33.04
2016,Buffalo Sabres,116.00,114.90,62019704.00,1.10,81.00,0.43,1130232.00,114.42,113.33,61174375.43,61.17,1.09
2016,Calgary Flames,121.00,103.00,67570257.00,18.00,77.00,0.43,1438160.00,119.35,101.60,66649274.40,66.65,17.75
2016,Carolina Hurricanes,99.00,114.00,57310738.00,-15.00,86.00,0.43,1303854.00,97.65,112.45,56529592.64,56.53,-14.80
2016,Chicago Blackhawks,173.00,138.60,71531510.00,34.40,103.00,0.57,9533662.00,170.64,136.71,70556535.52,70.56,33.93
2016,Colorado Avalanche,115.00,108.70,62767942.00,6.30,82.00,0.48,2856755.00,113.43,107.22,61912414.95,61.91,6.21
2016,Columbus Blue Jackets,100.00,102.40,67937548.00,-2.40,76.00,0.41,2052192.00,98.64,101.00,67011559.22,67.01,-2.37
2016,Dallas Stars,144.00,123.10,66132966.00,20.90,109.00,0.61,7194758.00,142.04,121.42,65231573.67,65.23,20.62
2016,Detroit Red Wings,137.00,130.90,67308246.00,6.10,93.00,0.50,4316260.00,135.13,129.12,66390834.61,66.39,6.02
2016,Edmonton Oilers,117.00,101.60,68765462.00,15.40,70.00,0.38,1364394.00,115.41,100.22,67828188.75,67.83,15.19
2016,Florida Panthers,100.00,115.40,69087745.00,-15.40,103.00,0.57,6055686.00,98.64,113.83,68146079.04,68.15,-15.19
2016,Los Angeles Kings,142.00,142.40,71340923.00,-0.40,102.00,0.59,13270694.00,140.06,140.46,70368546.22,70.37,-0.39
2016,Minnesota Wild,136.00,130.40,69866538.00,5.60,87.00,0.46,3538527.00,134.15,128.62,68914257.09,68.91,5.52
2016,Montreal Canadiens,202.00,125.10,71938679.00,76.90,82.00,0.46,4140425.00,199.25,123.39,70958154.81,70.96,75.85
2016,Nashville Predators,116.00,118.20,61178945.00,-2.20,96.00,0.50,1841294.00,114.42,116.59,60345075.98,60.35,-2.17
2016,New Jersey Devils,126.00,126.90,63197460.00,-0.90,84.00,0.46,19334778.00,124.28,125.17,62336078.62,62.34,-0.89
2016,New York Islanders,114.00,111.30,65257214.00,2.70,100.00,0.55,19334778.00,112.45,109.78,64367758.17,64.37,2.66
2016,New York Rangers,219.00,144.50,76261193.00,74.50,101.00,0.56,19334778.00,216.02,142.53,75221752.94,75.22,73.48
2016,Ottawa Senators,118.00,111.70,65450504.00,6.30,85.00,0.46,1358100.00,116.39,110.18,64558413.63,64.56,6.21
2016,Philadelphia Flyers,160.00,135.30,69056693.00,24.70,96.00,0.50,6066661.00,157.82,133.46,68115450.27,68.12,24.36
2016,Pittsburgh Penguins,178.00,152.30,71025446.00,25.70,104.00,0.59,2340222.00,175.57,150.22,70057369.17,70.06,25.35
2016,San Jose Sharks,141.00,133.90,69675193.00,7.10,98.00,0.56,1987593.00,139.08,132.07,68725520.12,68.73,7.00
2016,St. Louis Blues,129.00,125.80,71168167.00,3.20,107.00,0.60,2805502.00,127.24,124.09,70198144.88,70.20,3.16
2016,Tampa Bay Lightning,127.00,124.00,69287653.00,3.00,97.00,0.56,3048963.00,125.27,122.31,68343262.29,68.34,2.96
2016,Toronto Maple Leafs,186.00,118.00,67746401.00,68.00,69.00,0.35,6125013.00,183.46,116.39,66823017.55,66.82,67.07
2016,Vancouver Canucks,146.00,116.40,66693645.00,29.60,75.00,0.38,2582202.00,144.01,114.81,65784610.62,65.78,29.20
2016,Washington Capitals,136.00,124.30,70403880.00,11.70,120.00,0.68,6149301.00,134.15,122.61,69444275.12,69.44,11.54
2016,Winnipeg Jets,112.00,100.60,52338400.00,11.40,78.00,0.43,,110.47,99.23,51625027.61,51.63,11.24
2017,Anaheim Ducks,136.00,138.60,73254459.00,-2.60,105.00,0.56,13278000.00,131.35,133.86,70749156.50,70.75,-2.51
2017,Arizona Coyotes,96.00,107.00,62576227.00,-11.00,,,4758748.00,92.72,103.34,60436120.04,60.44,-10.62
2017,Boston Bruins,176.00,143.00,74772546.00,33.00,95.00,0.54,4841772.00,169.98,138.11,72215324.93,72.22,31.87
2017,Buffalo Sabres,120.00,133.00,72465004.00,-13.00,78.00,0.40,1129882.00,115.90,128.45,69986700.86,69.99,-12.56
2017,Calgary Flames,129.00,123.60,74332972.00,5.40,94.00,0.55,1458336.00,124.59,119.37,71790784.36,71.79,5.22
2017,Carolina Hurricanes,108.00,105.00,55070883.00,3.00,87.00,0.44,1334235.00,104.31,101.41,53187458.80,53.19,2.90
2017,Chicago Blackhawks,183.00,135.00,70593221.00,48.00,109.00,0.61,9514113.00,176.74,130.38,68178932.84,68.18,46.36
2017,Colorado Avalanche,113.00,113.40,69968694.00,-0.40,48.00,0.27,2891776.00,109.14,109.52,67575764.67,67.58,-0.39
2017,Columbus Blue Jackets,106.00,111.30,67783208.00,-5.30,108.00,0.61,2082581.00,102.37,107.49,65465022.29,65.47,-5.12
2017,Dallas Stars,140.00,119.00,67509048.00,21.00,79.00,0.41,7337097.00,135.21,114.93,65200238.56,65.20,20.28
2017,Detroit Red Wings,141.00,135.60,65184491.00,5.40,79.00,0.40,4321593.00,136.18,130.96,62955181.41,62.96,5.22
2017,Edmonton Oilers,151.00,127.00,69680520.00,24.00,103.00,0.57,1390149.00,145.84,122.66,67297446.22,67.30,23.18
2017,Florida Panthers,100.00,111.00,64675437.00,-11.00,81.00,0.43,6118155.00,96.58,107.20,62463537.05,62.46,-10.62
2017,Los Angeles Kings,175.00,143.00,75503203.00,32.00,86.00,0.48,13278000.00,169.02,138.11,72920993.46,72.92,30.91
2017,Minnesota Wild,139.00,134.20,75007092.00,4.80,106.00,0.60,3575699.00,134.25,129.61,72441849.45,72.44,4.64
2017,Montreal Canadiens,236.00,144.00,74453080.00,92.00,103.00,0.57,4193207.00,227.93,139.08,71906784.66,71.91,88.85
2017,Nashville Predators,141.00,127.00,70791103.00,14.00,94.00,0.50,1874515.00,136.18,122.66,68370047.28,68.37,13.52
2017,New Jersey Devils,137.00,125.00,63384193.00,12.00,70.00,0.34,19322607.00,132.31,120.73,61216453.60,61.22,11.59
2017,New York Islanders,110.00,118.60,71541919.00,-8.60,94.00,0.50,19322607.00,106.24,114.54,69095185.37,69.10,-8.31
2017,New York Rangers,246.00,152.00,73375352.00,94.00,102.00,0.59,19322607.00,237.59,146.80,70865914.96,70.87,90.79
2017,Ottawa Senators,135.00,125.00,75947622.00,10.00,98.00,0.54,1384897.00,130.38,120.73,73350213.33,73.35,9.66
2017,Philadelphia Flyers,170.00,144.00,74563822.00,26.00,88.00,0.48,6078522.00,164.19,139.08,72013739.29,72.01,25.11
2017,Pittsburgh Penguins,196.00,155.00,70347288.00,41.00,111.00,0.61,2329004.00,189.30,149.70,67941410.75,67.94,39.60
2017,San Jose Sharks,137.00,128.40,73385869.00,8.60,99.00,0.56,1992674.00,132.31,124.01,70876072.28,70.88,8.31
2017,St. Louis Blues,150.00,140.80,70675984.00,9.20,99.00,0.56,2805758.00,144.87,135.98,68258865.35,68.26,8.89
2017,Tampa Bay Lightning,124.00,125.80,55595478.00,-1.80,94.00,0.51,3106922.00,119.76,121.50,53694112.65,53.69,-1.74
2017,Toronto Maple Leafs,211.00,135.00,62945820.00,76.00,95.00,0.49,6217328.00,203.78,130.38,60793072.96,60.79,73.40
2017,Vancouver Canucks,156.00,134.00,66424256.00,22.00,69.00,0.37,2616904.00,150.66,129.42,64152546.44,64.15,21.25
2017,Washington Capitals,146.00,130.00,73952827.00,16.00,118.00,0.67,6211341.00,141.01,125.55,71423640.32,71.42,15.45
2017,Winnipeg Jets,119.00,109.00,64113622.00,10.00,87.00,0.49,,114.93,105.27,61920936.13,61.92,9.66
2018,Anaheim Ducks,134.00,136.30,74675365.00,-2.30,101.00,0.54,13249879.00,126.33,128.50,70401693.86,70.40,-2.17
2018,Arizona Coyotes,96.00,107.00,57472552.00,-11.00,,,4849209.00,90.51,100.88,54183397.85,54.18,-10.37
2018,Boston Bruins,191.00,154.00,75204391.00,37.00,112.00,0.61,4859536.00,180.07,145.19,70900443.70,70.90,34.88
2018,Buffalo Sabres,128.00,122.70,64604838.00,5.30,62.00,0.30,1129777.00,120.67,115.68,60907503.12,60.91,5.00
2018,Calgary Flames,132.00,121.00,73173773.00,11.00,84.00,0.45,1483528.00,124.45,114.08,68986037.97,68.99,10.37
2018,Carolina Hurricanes,109.00,112.90,57873988.00,-3.90,83.00,0.44,1361590.00,102.76,106.44,54561859.67,54.56,-3.68
2018,Chicago Blackhawks,201.00,144.00,67616908.00,57.00,76.00,0.40,9484158.00,189.50,135.76,63747192.36,63.75,53.74
2018,Colorado Avalanche,119.00,111.80,66395026.00,7.20,95.00,0.52,2931665.00,112.19,105.40,62595238.66,62.60,6.79
2018,Columbus Blue Jackets,111.00,112.70,74758383.00,-1.70,97.00,0.55,2104194.00,104.65,106.25,70479960.74,70.48,-1.60
2018,Dallas Stars,144.00,130.00,74724071.00,14.00,92.00,0.51,7455756.00,135.76,122.56,70447612.42,70.45,13.20
2018,Detroit Red Wings,171.00,138.00,66917504.00,33.00,73.00,0.37,4322084.00,161.21,130.10,63087815.25,63.09,31.11
2018,Edmonton Oilers,145.00,124.00,63310213.00,21.00,78.00,0.44,1415351.00,136.70,116.90,59686969.51,59.69,19.80
2018,Florida Panthers,99.00,120.00,69282341.00,-21.00,96.00,0.54,6143837.00,93.33,113.13,65317312.62,65.32,-19.80
2018,Los Angeles Kings,193.00,149.00,73859315.00,44.00,98.00,0.55,13249879.00,181.95,140.47,69632346.40,69.63,41.48
2018,Minnesota Wild,142.00,137.50,75336765.00,4.50,101.00,0.55,3610061.00,133.87,129.63,71025241.94,71.03,4.24
2018,Montreal Canadiens,239.00,137.00,61260710.00,102.00,71.00,0.35,4264846.00,225.32,129.16,57754759.57,57.75,96.16
2018,Nashville Predators,132.00,127.40,72340995.00,4.60,117.00,0.65,1904726.00,124.45,120.11,68200919.86,68.20,4.34
2018,New Jersey Devils,166.00,146.00,75442295.00,20.00,97.00,0.54,19276644.00,156.50,137.64,71124732.46,71.12,18.86
2018,New York Islanders,107.00,120.00,73381934.00,-13.00,80.00,0.43,19276644.00,100.88,113.13,69182285.92,69.18,-12.26
2018,New York Rangers,253.00,146.00,68255896.00,107.00,77.00,0.41,19276644.00,238.52,137.64,64349611.07,64.35,100.88
2018,Ottawa Senators,124.00,122.40,62506310.00,1.60,67.00,0.34,1411032.00,116.90,115.40,58929073.88,58.93,1.51
2018,Philadelphia Flyers,186.00,149.00,74933174.00,37.00,98.00,0.51,6091208.00,175.36,140.47,70644748.45,70.64,34.88
2018,Pittsburgh Penguins,185.00,142.00,74369360.00,43.00,100.00,0.57,2322653.00,174.41,133.87,70113201.53,70.11,40.54
2018,San Jose Sharks,148.00,136.00,73969118.00,12.00,100.00,0.55,1993804.00,139.53,128.22,69735865.38,69.74,11.31
2018,St. Louis Blues,148.00,138.00,70349801.00,10.00,94.00,0.54,2803958.00,139.53,130.10,66323681.89,66.32,9.43
2018,Tampa Bay Lightning,146.00,138.70,78018887.00,7.30,113.00,0.66,3154649.00,137.64,130.76,73553866.10,73.55,6.88
2018,Toronto Maple Leafs,232.00,138.00,69701776.00,94.00,105.00,0.60,6337780.00,218.72,130.10,65712743.36,65.71,88.62
2018,Vancouver Canucks,168.00,131.00,70446295.00,37.00,73.00,0.38,2658582.00,158.39,123.50,66414653.54,66.41,34.88
2018,Vegas Golden Knights,180.00,127.00,75041028.00,53.00,,,2226115.00,169.70,119.73,70746429.97,70.75,49.97
2018,Washington Capitals,194.00,148.00,77332485.00,46.00,105.00,0.60,6247841.00,182.90,139.53,72906746.88,72.91,43.37
2018,Winnipeg Jets,135.00,124.00,74719851.00,11.00,114.00,0.63,,127.27,116.90,70443633.93,70.44,10.37
2019,Anaheim Ducks,137.00,140.10,,-3.10,80.00,0.43,13214799.00,126.86,129.73,,0.00,-2.87
2019,Arizona Coyotes,102.00,117.00,70748392.00,-15.00,,,4948203.00,94.45,108.34,65512303.51,65.51,-13.89
2019,Boston Bruins,228.00,166.00,,62.00,107.00,0.60,4873019.00,211.13,153.71,,0.00,57.41
2019,Buffalo Sabres,135.00,133.10,77949631.00,1.90,76.00,0.40,1127983.00,125.01,123.25,72180578.81,72.18,1.76
2019,Calgary Flames,138.00,134.40,76646583.00,3.60,107.00,0.61,1514426.00,127.79,124.45,70973969.39,70.97,3.33
2019,Carolina Hurricanes,128.00,124.40,78384539.00,3.60,99.00,0.56,1390785.00,118.53,115.19,72583299.27,72.58,3.33
2019,Chicago Blackhawks,208.00,139.00,62713299.00,69.00,84.00,0.44,9458539.00,192.61,128.71,58071887.74,58.07,63.89
2019,Colorado Avalanche,130.00,121.10,73900012.00,8.90,90.00,0.46,2967239.00,120.38,112.14,68430672.11,68.43,8.24
2019,Columbus Blue Jackets,119.00,132.00,70766138.00,-13.00,98.00,0.57,2122271.00,110.19,122.23,65528736.13,65.53,-12.04
2019,Dallas Stars,166.00,148.00,76745276.00,18.00,93.00,0.52,7573136.00,153.71,137.05,71065358.12,71.07,16.67
2019,Detroit Red Wings,183.00,152.00,73940982.00,31.00,74.00,0.39,4319629.00,169.46,140.75,68468609.92,68.47,28.71
2019,Edmonton Oilers,154.00,138.00,69247838.00,16.00,79.00,0.43,1442835.00,142.60,127.79,64122805.51,64.12,14.82
2019,Florida Panthers,105.00,126.00,81734363.00,-21.00,86.00,0.44,6166488.00,97.23,116.67,75685202.79,75.69,-19.45
