Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2015,Edmonton Oilers,$119,$101.80,"$62,907,298",$17.20,62,0.293,"1,338,092",$118.86,$101.68,"$62,832,438.32",$62.8324,17.179532
2015,Florida Panthers,$93,$113.20,"$62,724,405",-$20.20,91,0.463,"5,969,135",$92.89,$113.07,"$62,649,762.96",$62.6498,-20.175962
2015,Los Angeles Kings,$132,$129.80,"$65,907,026",$2.20,95,0.488,"13,234,696",$131.84,$129.65,"$65,828,596.64",$65.8286,2.197382
2015,Minnesota Wild,$125,$123.90,"$65,174,296",$1.10,100,0.561,"3,503,728",$124.85,$123.75,"$65,096,738.59",$65.0967,1.098691
2015,Montreal Canadiens,$219,$127.70,"$68,095,647",$91.30,110,0.610,"4,109,712",$218.74,$127.55,"$68,014,613.18",$68.0146,91.191353
2015,Nashville Predators,$110,$108.00,"$59,821,039",$2,104,0.573,"1,804,671",$109.87,$107.87,"$59,749,851.96",$59.7499,1.99762
2015,New Jersey Devils,$125,$120.50,"$61,846,503",$4.50,78,0.390,"19,320,968",$124.85,$120.36,"$61,772,905.66",$61.7729,4.494645
2015,New York Islanders,$93,$107.00,"$64,519,319",-$14,101,0.573,"19,320,968",$92.89,$106.87,"$64,442,541.01",$64.4425,-13.98334
2015,New York Rangers,$229,$145.90,"$68,809,019",$83.10,113,0.646,"19,320,968",$228.73,$145.73,"$68,727,136.27",$68.7271,83.001111
2015,Ottawa Senators,$119,$100.50,"$56,749,896",$18.50,99,0.524,"1,337,305",$118.86,$100.38,"$56,682,363.62",$56.6824,18.477985
2015,Philadelphia Flyers,$146,$132.40,"$73,580,710",$13.60,84,0.402,"6,056,816",$145.83,$132.24,"$73,493,148.96",$73.4931,13.583816
2015,Pittsburgh Penguins,$151,$130.80,"$71,278,364",$20.20,98,0.524,"2,347,757",$150.82,$130.64,"$71,193,542.75",$71.1935,20.175962
2015,San Jose Sharks,$126,$117.80,"$60,666,109",$8.20,89,0.488,"1,974,501",$125.85,$117.66,"$60,593,916.33",$60.5939,8.190242
2015,St. Louis Blues,$111,$118.10,"$68,207,908",-$7.10,109,0.622,"2,807,503",$110.87,$117.96,"$68,126,740.59",$68.1267,-7.091551
2015,Tampa Bay Lightning,$121,$122.40,"$69,836,530",-$1.40,108,0.610,"2,983,928",$120.86,$122.25,"$69,753,424.53",$69.7534,-1.398334
2015,Toronto Maple Leafs,$192,$122.00,"$66,420,970",$70,68,0.366,"6,045,240",$191.77,$121.85,"$66,341,929.05",$66.3419,69.9167
2015,Vancouver Canucks,$152,$116.50,"$66,238,057",$35.50,101,0.585,"2,544,484",$151.82,$116.36,"$66,159,233.71",$66.1592,35.457755
2015,Washington Capitals,$132,$126.20,"$68,577,042",$5.80,101,0.549,"6,093,950",$131.84,$126.05,"$68,495,435.32",$68.4954,5.793098
2015,Winnipeg Jets,$116,$105.10,"$63,322,574",$10.90,99,0.524,#N/A,$115.86,$104.97,"$63,247,220.14",$63.2472,10.887029
2016,Anaheim Ducks,$121,$122,"$63,192,523",-$1.2,103,0.561,"13,270,694",$119.35,$120.53,"$62,331,208.91",$62.3312,-1.183644
2016,Arizona Coyotes,$101,$109,"$65,050,932",-$8.0,#N/A,#N/A,"4,673,336",$99.62,$107.51,"$64,164,287.80",$64.1643,-7.89096
2016,Boston Bruins,$169,$136,"$69,478,695",$33.5,93,0.512,"4,809,061",$166.70,$133.65,"$68,531,700.39",$68.5317,33.043395
2016,Buffalo Sabres,$116,$115,"$62,019,704",$1.1,81,0.427,"1,130,232",$114.42,$113.33,"$61,174,375.43",$61.1744,1.085007
2016,Calgary Flames,$121,$103,"$67,570,257",$18.0,77,0.427,"1,438,160",$119.35,$101.60,"$66,649,274.40",$66.6493,17.75466
2016,Carolina Hurricanes,$99,$114,"$57,310,738",-$15.0,86,0.427,"1,303,854",$97.65,$112.45,"$56,529,592.64",$56.5296,-14.79555
2016,Chicago Blackhawks,$173,$139,"$71,531,510",$34.4,103,0.573,"9,533,662",$170.64,$136.71,"$70,556,535.52",$70.5565,33.931128
2016,Colorado Avalanche,$115,$109,"$62,767,942",$6.3,82,0.476,"2,856,755",$113.43,$107.22,"$61,912,414.95",$61.9124,6.214131
2016,Columbus Blue Jackets,$100,$102,"$67,937,548",-$2.4,76,0.415,"2,052,192",$98.64,$101.00,"$67,011,559.22",$67.0116,-2.367288
2016,Dallas Stars,$144,$123,"$66,132,966",$20.9,109,0.610,"7,194,758",$142.04,$121.42,"$65,231,573.67",$65.2316,20.615133
2016,Detroit Red Wings,$137,$131,"$67,308,246",$6.1,93,0.500,"4,316,260",$135.13,$129.12,"$66,390,834.61",$66.3908,6.016857
2016,Edmonton Oilers,$117,$102,"$68,765,462",$15.4,70,0.378,"1,364,394",$115.41,$100.22,"$67,828,188.75",$67.8282,15.190098
2016,Florida Panthers,$100,$115,"$69,087,745",-$15.4,103,0.573,"6,055,686",$98.64,$113.83,"$68,146,079.04",$68.1461,-15.190098
2016,Los Angeles Kings,$142,$142,"$71,340,923",-$0.4,102,0.585,"13,270,694",$140.06,$140.46,"$70,368,546.22",$70.3685,-0.394548
2016,Minnesota Wild,$136,$130,"$69,866,538",$5.6,87,0.463,"3,538,527",$134.15,$128.62,"$68,914,257.09",$68.9143,5.523672
2016,Montreal Canadiens,$202,$125,"$71,938,679",$76.9,82,0.463,"4,140,425",$199.25,$123.39,"$70,958,154.81",$70.9582,75.851853
2016,Nashville Predators,$116,$118,"$61,178,945",-$2.2,96,0.500,"1,841,294",$114.42,$116.59,"$60,345,075.98",$60.3451,-2.170014
2016,New Jersey Devils,$126,$127,"$63,197,460",-$0.9,84,0.463,"19,334,778",$124.28,$125.17,"$62,336,078.62",$62.3361,-0.887733
2016,New York Islanders,$114,$111,"$65,257,214",$2.7,100,0.549,"19,334,778",$112.45,$109.78,"$64,367,758.17",$64.3678,2.663199
2016,New York Rangers,$219,$145,"$76,261,193",$74.5,101,0.561,"19,334,778",$216.02,$142.53,"$75,221,752.94",$75.2218,73.484565
2016,Ottawa Senators,$118,$112,"$65,450,504",$6.3,85,0.463,"1,358,100",$116.39,$110.18,"$64,558,413.63",$64.5584,6.214131
2016,Philadelphia Flyers,$160,$135,"$69,056,693",$24.7,96,0.500,"6,066,661",$157.82,$133.46,"$68,115,450.27",$68.1155,24.363339
2016,Pittsburgh Penguins,$178,$152,"$71,025,446",$25.7,104,0.585,"2,340,222",$175.57,$150.22,"$70,057,369.17",$70.0574,25.349709
2016,San Jose Sharks,$141,$134,"$69,675,193",$7.1,98,0.561,"1,987,593",$139.08,$132.07,"$68,725,520.12",$68.7255,7.003227
2016,St. Louis Blues,$129,$126,"$71,168,167",$3.2,107,0.598,"2,805,502",$127.24,$124.09,"$70,198,144.88",$70.1981,3.156384
